upper_limit,lower_limit,carbon_content,bulk_density,CF,SOCS
0,31,472,185,5,25.7
31,61,492,172,6,23.9
61,91,487,175,6,24.1
91,122,502,166,6,24.3
122,130,59,830,6,3.7
