"
Type of PSM project","L0","L1","L2","L3"
"PSM projects in new area (single state)","500-1000 US$ / Mpix","1,000-5,000 US$ / Mpix","5,000-50,000 US$ / Mpix",">50,000 US$ / Mpix"
"PSM projects using legacy points (single state)","0.8 US$ / Mpix ","2 US$ / Mpix","2–50 US$ / Mpix ",">50 US$ / Mpix"
"PSM projects aiming at optimizing predictions and usability (single state)","0.5 US$ / Mpix","0.8 US$ / Mpix","NA","NA"
"PSM change detection project (two states)","NA","NA","NA","NA"
"PSM monitoring projects (multiple states)","NA","NA","NA","NA"
